PitcherName,wins,losses,era
Cal Quantrill,6,5,3.50
Jonathan Cannon,1,2,4.59
Carson Spiers,1,1,3.45
Sonny Gray,9,4,2.81
Nestor Cortes,4,6,3.40
Chris Bassitt,6,6,3.45
Aaron Nola,9,3,3.39
Tanner Bibee,6,2,3.50
Cole Ragans,5,5,3.03
Framber Valdez,6,5,3.68
Tylor Megill,2,4,4.81
Hogan Harris,1,1,2.72
Zac Gallen,5,4,3.12
Michael King,5,5,3.75
Tanner Houck,7,5,2.18
Jake Irvin,5,6,3.13
Aaron Civale,2,5,5.20
Paul Skenes,4,0,2.14
Max Fried,7,3,3.00
Justin Steele,0,3,3.08
Tobias Myers,5,2,3.12
Tyler Glasnow,8,5,2.88
Michael Lorenzen,4,3,3.04
Cade Povich,0,2,4.15
Reese Olson,2,8,3.35
Griffin Canning,3,8,4.62
Bryce Miller,6,6,3.90
