Name,Tm,G,TBF,ERA,H,2B,3B,R,HR,BB,SO,SLG
Carlos Carrasco,CLE,14,59,3.21428571,11,2,2,5,0,7,13,0.326923076
Nathan Eovaldi,TEX,13,52,2.07692308,8,1,0,3,1,6,12,0.260869565
Kyle Gibson,STL,15,67,6.0,17,3,0,10,2,7,13,0.45614035
Chris Flexen,CHW,15,57,1.8,9,4,0,3,2,2,12,0.351851851
Jose Berrios,TOR,17,71,3.17647059,16,3,0,6,3,6,15,0.4375
Zack Littell,TBR,16,72,5.0625,18,6,0,10,4,5,20,0.545454545
Sean Manaea,NYM,15,60,1.2,10,2,0,2,0,7,14,0.23076923
Reynaldo Lopez,ATL,14,50,0.0,7,1,0,0,0,2,18,0.166666666
Mitch Keller,PIT,16,64,2.25,10,2,2,4,1,8,14,0.345454545
Dylan Cease,SDP,17,72,6.88235294,16,3,0,13,5,5,25,0.515151515
Kutter Crawford,BOS,17,68,3.17647059,14,0,1,7,3,4,19,0.390625
Luis Gil,NYY,16,67,1.6875,8,3,0,3,1,11,16,0.254545454
Ryan Feltner,COL,16,74,8.4375,21,2,0,15,5,7,9,0.575757575
Jose Soriano,LAA,12,49,5.25,13,2,0,7,0,3,14,0.348837209
Tarik Skubal,DET,16,63,1.6875,11,2,0,4,2,3,15,0.333333333
Grayson Rodriguez,BAL,14,64,5.14285714,16,5,0,8,2,7,8,0.47368421
Simeon Woods Richardson,MIN,13,49,2.76923077,6,0,0,4,1,5,15,0.209302325
Brady Singer,KCR,16,65,1.6875,10,3,1,4,0,9,12,0.272727272
George Kirby,SEA,17,73,3.70588235,15,2,1,7,3,3,19,0.417910447
Ryne Nelson,ARI,14,47,0.0,7,1,0,0,0,2,11,0.177777777
DJ Herz,WSN,5,19,0.0,3,1,0,0,0,0,6,0.222222222
Bobby Miller,LAD,5,23,12.6,7,1,0,7,3,2,9,0.809523809
Graham Ashcraft,CIN,13,55,4.84615385,16,1,0,7,1,2,12,0.37735849
Hayden Wesneski,CHC,4,18,2.25,2,0,0,2,0,2,2,0.133333333
Mitch Spence,OAK,8,36,3.375,11,1,0,3,1,3,9,0.454545454
Spencer Arrighetti,HOU,14,64,7.71428571,16,3,0,12,5,7,21,0.607142857
