Name,Tm,G,TBF,ERA,H,2B,3B,R,HR,BB,SO,SLG
Seth Lugo,KCR,15,60,1.8,14,1,0,3,0,2,9,0.267857142
Chris Flexen,CHW,13,48,0.69230769,7,4,0,1,0,2,11,0.244444444
Ty Blach,COL,8,43,12.375,16,4,0,11,1,4,5,0.621621621
Luis Castillo,SEA,15,58,2.4,13,3,0,5,1,1,16,0.333333333
Zack Littell,TBR,14,64,5.78571429,17,6,0,10,4,4,18,0.593220338
Cole Irvin,BAL,11,46,1.63636364,12,4,0,2,0,2,10,0.363636363
Bryse Wilson,MIL,10,37,3.11538461,3,1,0,3,0,5,9,0.142857142
Luis Gil,NYY,14,56,1.28571429,5,1,0,2,1,10,15,0.195652173
MacKenzie Gore,WSN,14,57,0.64285714,10,2,0,1,1,5,23,0.288461538
Keaton Winn,SFG,11,54,10.96875,16,1,1,13,1,5,12,0.468085106
Simeon Woods Richardson,MIN,11,42,3.27272727,5,0,0,4,1,4,13,0.216216216
Andre Pallante,STL,4,16,4.5,1,0,0,2,0,3,1,0.083333333
Ryne Nelson,ARI,12,40,0.0,6,0,0,0,0,2,10,0.157894736
Logan Allen,CLE,14,62,5.14285714,15,3,0,8,2,7,10,0.436363636
Mitch Spence,OAK,6,30,4.5,11,1,0,3,1,3,7,0.555555555
Gavin Stone,LAD,13,52,3.46153846,9,3,0,5,1,5,13,0.319148936
Spencer Arrighetti,HOU,12,57,9.0,16,3,0,12,5,6,18,0.68
Adam Mazur,SDP,3,15,3.0,3,0,0,1,0,4,2,0.272727272
