Rank,Team,Games,AtBat,Runs,Hits,Double,Triple,HR,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
1,Arizona Diamondbacks,90,369,65,118,26,1,20,65,28,83,14,1,0.32,0.371,0.558,0.929
2,New York Yankees,91,355,66,100,14,3,25,66,56,92,7,2,0.282,0.382,0.549,0.931
3,Houston Astros,90,351,52,96,13,0,17,50,31,69,6,2,0.274,0.334,0.456,0.79
4,Los Angeles Dodgers,91,357,54,97,17,2,23,53,39,82,9,1,0.272,0.348,0.524,0.872
5,Philadelphia Phillies,90,356,65,96,23,0,16,61,41,88,11,1,0.27,0.355,0.469,0.824
6,Colorado Rockies,90,352,47,94,20,1,8,46,20,108,5,2,0.267,0.311,0.398,0.709
7,Miami Marlins,90,351,52,92,13,3,14,51,23,93,4,2,0.262,0.309,0.436,0.745
8,San Diego Padres,94,361,57,94,12,1,19,55,32,79,6,1,0.26,0.327,0.457,0.784
9,Atlanta Braves,88,344,47,89,19,3,14,44,30,98,9,4,0.259,0.327,0.453,0.78
10,Boston Red Sox,88,340,42,87,24,1,14,42,37,95,10,2,0.256,0.331,0.456,0.787
11,Minnesota Twins,90,345,46,88,16,3,11,44,31,87,3,2,0.255,0.331,0.414,0.745
12,Baltimore Orioles,90,352,45,88,15,0,17,43,22,86,4,1,0.25,0.306,0.438,0.744
13,Kansas City Royals,92,357,45,85,17,3,7,45,18,73,10,0,0.238,0.28,0.361,0.641
14,New York Mets,88,332,39,79,21,1,8,37,34,94,8,1,0.238,0.329,0.38,0.709
15,Detroit Tigers,90,342,42,81,15,6,15,41,27,97,8,1,0.237,0.293,0.447,0.74
16,Tampa Bay Rays,90,332,41,78,14,2,12,38,30,87,5,3,0.235,0.309,0.398,0.707
17,Texas Rangers,90,334,48,78,10,0,11,46,41,82,11,1,0.234,0.323,0.362,0.685
18,Toronto Blue Jays,90,335,36,76,17,1,8,35,28,77,2,1,0.227,0.291,0.355,0.646
19,Chicago Cubs,91,341,45,77,16,2,14,43,49,105,4,1,0.226,0.331,0.408,0.739
20,Cleveland Guardians,88,334,43,75,15,0,9,41,27,65,10,4,0.225,0.295,0.35,0.645
21,Chicago White Sox,92,336,31,74,15,1,7,29,30,99,4,2,0.22,0.285,0.333,0.618
22,Los Angeles Angels,89,334,35,73,11,1,13,34,20,90,7,3,0.219,0.274,0.374,0.648
23,Seattle Mariners,92,339,39,74,10,1,11,38,25,125,9,1,0.218,0.277,0.351,0.628
24,San Francisco Giants,91,332,32,72,15,0,6,29,28,82,3,3,0.217,0.279,0.316,0.595
25,Milwaukee Brewers,91,327,34,70,14,0,9,33,38,101,9,3,0.214,0.296,0.339,0.635
26,St. Louis Cardinals,89,327,39,70,15,0,13,39,29,86,3,1,0.214,0.282,0.379,0.661
27,Pittsburgh Pirates,89,332,33,69,10,0,11,32,32,96,4,0,0.208,0.28,0.337,0.617
28,Washington Nationals,90,314,25,63,14,0,6,24,29,82,15,8,0.201,0.279,0.303,0.582
29,Cincinnati Reds,90,316,34,59,13,4,13,33,30,103,17,2,0.187,0.264,0.377,0.641
30,Oakland Athletics,92,325,29,56,10,2,9,29,30,101,2,5,0.172,0.252,0.298,0.55
